,Company,TypeName,Inches,Screen Resolution,X_res,Y_res,Full HD,Quad HD+,4K Ultra HD,IPS,Touch Screen,CPU Name,CPU Freq (GHz),RAM (GB),HDD,SSD,Flash Storage,GPU,OS,Weight (kg),Price
0,Apple,Ultrabook,13.3,2560x1600,2560,1600,0,1,0,1,0,Intel Core i5,2.3,8,0,128,0,Intel Iris,Mac,1.37,71378.68320000001
1,Apple,Ultrabook,13.3,1440x900,1440,900,1,0,0,0,0,Intel Core i5,1.8,8,0,0,128,Intel HD Graphics,Mac,1.34,47895.523200000025
2,HP,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,2.5,8,0,256,0,Intel HD Graphics,No OS,1.86,30636.000000000007
3,Apple,Ultrabook,15.4,2880x1800,2880,1800,0,0,1,1,0,Intel Core i7,2.7,16,0,512,0,AMD Radeon,Mac,1.83,135195.3360000001
4,Apple,Ultrabook,13.3,2560x1600,2560,1600,0,1,0,1,0,Intel Core i5,3.1,8,0,256,0,Intel Iris,Mac,1.37,96095.80800000003
5,Acer,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,AMD A-Series,3.0,4,500,0,0,AMD Radeon,Windows 10,2.1,21312.000000000015
6,Apple,Ultrabook,15.4,2880x1800,2880,1800,0,0,1,1,0,Intel Core i7,2.2,16,0,0,256,Intel Iris,Mac X,2.04,114017.60159999998
7,Apple,Ultrabook,13.3,1440x900,1440,900,1,0,0,0,0,Intel Core i5,1.8,8,0,0,256,Intel HD Graphics,Mac,1.34,61735.53600000003
8,Asus,Ultrabook,14.0,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,1.8,16,0,512,0,Nvidia GeForce MX,Windows 10,1.3,79653.60000000005
9,Acer,Ultrabook,14.0,1920x1080,1920,1080,1,0,0,1,0,Intel Core i5,1.6,8,0,256,0,Intel UHD Graphics,Windows 10,1.6,41025.599999999984
10,HP,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,Intel Core i5,2.5,4,500,0,0,Intel HD Graphics,No OS,1.86,20986.992000000017
11,HP,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i3,2.0,4,500,0,0,Intel HD Graphics,No OS,1.86,18381.067199999998
12,Apple,Ultrabook,15.4,2880x1800,2880,1800,0,0,1,1,0,Intel Core i7,2.8,16,0,256,0,AMD Radeon,Mac,1.83,130001.60159999992
13,Dell,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i3,2.0,4,0,256,0,AMD Radeon,Windows 10,2.2,26581.391999999985
14,Apple,Ultrabook,12.0,2304x1440,2304,1440,0,1,0,1,0,Intel Core M,1.2,8,0,256,0,Intel HD Graphics,Mac,0.92,67260.67199999998
15,Apple,Ultrabook,13.3,2560x1600,2560,1600,0,1,0,1,0,Intel Core i5,2.3,8,0,256,0,Intel Iris,Mac,1.37,80908.34400000004
16,Dell,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.7,8,0,256,0,AMD Radeon,Windows 10,2.2,39693.600000000006
17,Apple,Ultrabook,15.4,2880x1800,2880,1800,0,0,1,1,0,Intel Core i7,2.9,16,0,512,0,AMD Radeon,Mac,1.83,152274.23999999987
18,Lenovo,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i3,2.4,8,1000,0,0,Nvidia GeForce MX,No OS,2.2,26586.71999999998
19,Dell,Ultrabook,13.3,1920x1080,1920,1080,1,0,0,1,1,Intel Core i5,1.6,8,0,128,0,Intel UHD Graphics,Windows 10,1.22,52161.119999999995
20,Asus,Netbook,11.6,1366x768,1366,768,1,0,0,0,0,Intel Atom,1.44,2,0,0,32,Intel HD Graphics,Windows 10,0.98,10224.431999999999
